"name","first_release","versions","archived","index"
"Icens","2004-03-14 20:03:00",8,TRUE,375
"gpls","2004-03-14 20:03:00",9,TRUE,376
"urca","2004-03-16 21:59:00",46,TRUE,377
"haplo.stats","2004-03-19 07:24:00",25,TRUE,378
"extRemes","2004-03-19 22:27:00",34,TRUE,379
"verify","2004-03-20 08:14:00",2,TRUE,380
"race","2004-03-23 08:11:00",7,TRUE,381
"DCluster","2004-03-26 07:51:00",10,TRUE,382
"HighProbability","2004-03-26 07:51:00",2,TRUE,383
"setRNG","2004-03-26 07:51:00",7,TRUE,384
"mathgraph","2004-03-26 07:58:00",7,TRUE,385
"spe","2004-03-26 15:35:00",3,TRUE,386
"betareg","2004-04-01 13:13:00",24,TRUE,387
"SIN","2004-04-01 13:24:00",6,TRUE,388
"RScaLAPACK","2004-04-06 06:30:00",6,TRUE,389
"knncat","2004-04-07 16:08:00",12,TRUE,390
"kernlab","2004-04-12 12:57:00",39,TRUE,391
"mcgibbsit","2004-04-18 21:01:00",8,TRUE,392
"boa","2004-04-19 21:41:00",12,TRUE,393
"distr","2004-04-22 17:21:00",30,TRUE,394
"spatialCovariance","2004-04-27 16:46:00",11,TRUE,395
"kza","2004-04-28 05:14:00",18,TRUE,396
"rlecuyer","2004-05-01 07:01:00",8,TRUE,397
"evir","2004-05-05 09:31:00",11,TRUE,398
"rbugs","2004-05-12 22:12:00",23,TRUE,399
"klaR","2004-05-15 16:58:00",34,TRUE,400
"crossdes","2004-05-18 18:50:00",9,TRUE,401
"bayesmix","2004-05-19 08:00:00",10,TRUE,402
"fortunes","2004-05-22 06:01:00",26,TRUE,403
"mixreg","2004-05-23 22:36:00",6,TRUE,404
"seqmon","2004-05-26 11:48:00",6,TRUE,405
"circular","2004-05-26 12:25:00",16,TRUE,406
"spc","2004-05-27 05:01:00",17,TRUE,407
"evdbayes","2004-06-03 05:37:00",9,TRUE,408
"RUnit","2004-06-11 08:51:00",22,TRUE,409
"regress","2004-06-15 17:17:00",19,TRUE,410
"svmpath","2004-06-15 17:17:00",10,TRUE,411
"rrcov","2004-06-23 05:13:00",44,TRUE,412
"NADA","2004-06-25 12:09:00",19,TRUE,413
"MNP","2004-06-27 21:41:00",40,TRUE,414
"urn","2004-07-02 06:25:00",5,TRUE,415
"fBasics","2004-07-04 14:23:00",26,TRUE,416
"fExtremes","2004-07-04 14:23:00",21,TRUE,417
"fOptions","2004-07-04 14:23:00",24,TRUE,418
"fSeries","2004-07-04 14:23:00",16,TRUE,419
"UNF","2004-07-15 19:12:00",24,TRUE,420
"accuracy","2004-07-15 19:12:00",27,TRUE,421
"Malmig","2004-07-16 09:30:00",2,TRUE,422
"vioplot","2004-07-16 21:57:00",7,TRUE,423
"reldist","2004-07-20 08:30:00",13,TRUE,424
"eba","2004-07-21 05:29:00",19,TRUE,425
"drfit","2004-07-23 13:37:00",31,TRUE,426
"faraway","2004-08-01 11:24:00",11,TRUE,427
"mfp","2004-08-01 11:24:00",17,TRUE,428
"mitools","2004-08-01 11:24:00",7,TRUE,429
"RNetCDF","2004-08-02 09:17:00",22,TRUE,430
"gRbase","2004-08-04 17:19:00",69,TRUE,431
"RCurl","2004-08-05 08:47:00",52,TRUE,432
"Rstem","2004-08-05 08:47:00",3,TRUE,433
"rmetasim","2004-08-09 05:52:00",31,TRUE,434
"gam","2004-08-11 21:26:00",27,TRUE,435
"plotrix","2004-08-13 06:58:00",129,TRUE,436
"hierfstat","2004-08-14 16:11:00",13,TRUE,437
"locfdr","2004-08-19 20:25:00",12,TRUE,438
"CoCo","2004-08-26 17:19:00",9,TRUE,439
"catspec","2004-08-27 13:32:00",7,TRUE,440
"kinship","2004-08-28 19:36:00",22,TRUE,441
"limma","2004-09-06 18:47:00",41,TRUE,442
"snowFT","2004-09-11 07:19:00",10,TRUE,443
"tuneR","2004-09-11 07:22:00",29,TRUE,444
"superpc","2004-09-15 22:10:00",10,TRUE,445
"chplot","2004-09-17 14:49:00",6,TRUE,446
"adehabitat","2004-09-25 09:04:00",36,TRUE,447
"ncvar","2004-09-26 21:27:00",3,TRUE,448
"edci","2004-09-28 07:50:00",5,TRUE,449
"epsi","2004-09-28 07:52:00",4,TRUE,450
"gmp","2004-09-28 08:51:00",37,TRUE,451
"vabayelMix","2004-09-29 08:44:00",3,TRUE,452
"verification","2004-09-29 08:45:00",23,TRUE,453
"tweedie","2004-09-30 07:45:00",25,TRUE,454
"minpack.lm","2004-10-01 20:18:00",17,TRUE,455
"hopach","2004-10-06 10:26:00",20,TRUE,456
"ppc","2004-10-06 10:30:00",2,TRUE,457
"Matching","2004-10-22 07:36:00",70,TRUE,458
"UsingR","2004-10-22 07:36:00",21,TRUE,459
"Zelig","2004-10-22 15:42:00",61,TRUE,460
"qvalue","2004-10-27 07:42:00",7,TRUE,461
"ouch","2004-10-27 17:06:00",24,TRUE,462
"pcurve","2004-11-03 13:31:00",4,TRUE,463
"plugdensity","2004-11-03 16:17:00",3,TRUE,464
"cyclones","2004-11-04 15:32:00",11,TRUE,465
"epitools","2004-11-09 08:23:00",18,TRUE,466
"mvoutlier","2004-11-11 09:19:00",23,TRUE,467
"matlab","2004-11-16 08:53:00",13,TRUE,468
"rwt","2004-11-17 11:45:00",5,TRUE,469
"gsl","2004-11-17 16:13:00",26,TRUE,470
"kknn","2004-11-22 09:23:00",17,TRUE,471
"seqinr","2004-11-22 09:53:00",20,TRUE,472
"SciViews","2004-11-29 08:28:00",12,TRUE,473
"alr3","2004-12-03 08:31:00",28,TRUE,474
"climatol","2004-12-03 08:34:00",11,TRUE,475
"HTMLapplets","2004-12-03 12:01:00",3,TRUE,476
"polycor","2004-12-04 14:06:00",13,TRUE,477
"elasticnet","2004-12-07 10:12:00",8,TRUE,478
"mlica","2004-12-07 12:09:00",7,TRUE,479
"Geneland","2004-12-09 16:36:00",42,TRUE,480
"boost","2004-12-10 17:33:00",1,TRUE,481
"concor","2004-12-10 17:34:00",2,TRUE,482
"latticeExtra","2004-12-13 09:14:00",28,TRUE,483
"eco","2004-12-21 11:20:00",14,TRUE,484
"bayesSurv","2004-12-27 12:49:00",31,TRUE,485
"maanova","2004-12-27 12:49:00",16,TRUE,486
"clue","2004-12-29 19:58:00",69,TRUE,487
"MatchIt","2005-01-06 21:18:00",35,TRUE,488
"MatchIt","2005-01-06 21:18:00",35,TRUE,489
"RII","2005-01-09 21:43:00",1,TRUE,490
"NORMT3","2005-01-10 22:01:00",4,TRUE,491
